"Coverage","group"
0.9062,"CSA-M"
0.8788,"CSA-M"
0.8614,"CSA-M"
0.8562,"CSA-M"
0.8482,"CSA-M"
0.8792,"CSA-M"
0.858,"CSA-M"
0.8988,"CSA-M"
0.8381,"CSA-M"
0.8727,"CSA-M"
0.85,"CSA-M"
0.8667,"CSA-M"
0.8278,"CSA-M"
0.8412,"CSA-M"
0.8878,"CSA-M"
0.8363,"CSA-M"
0.8853,"CSA-M"
0.8608,"CSA-M"
0.8475,"CSA-M"
0.8453,"CSA-M"
0.8547,"CSA-M"
0.847,"CSA-M"
0.8172,"CSA-M"
0.8532,"CSA-M"
0.8595,"CSA-M"
0.7928,"CSA-M"
0.8277,"CSA-M"
0.8239,"CSA-M"
0.8757,"CSA-M"
0.824,"CSA-M"
0.8647,"CSA-M"
0.86,"CSA-M"
0.8348,"CSA-M"
0.8344,"CSA-M"
0.8644,"CSA-M"
0.8556,"CSA-M"
0.8133,"CSA-M"
0.8571,"CSA-M"
0.858,"CSA-M"
0.8192,"CSA-M"
0.8781,"CSA-M"
0.8705,"CSA-M"
0.8294,"CSA-M"
0.8668,"CSA-M"
0.8879,"CSA-M"
0.863,"CSA-M"
0.8452,"CSA-M"
0.8626,"CSA-M"
0.8612,"CSA-M"
0.8429,"CSA-M"
0.9142,"CSA-Q"
0.9087,"CSA-Q"
0.9334,"CSA-Q"
0.8877,"CSA-Q"
0.9002,"CSA-Q"
0.9333,"CSA-Q"
0.8911,"CSA-Q"
0.9261,"CSA-Q"
0.8928,"CSA-Q"
0.8712,"CSA-Q"
0.9241,"CSA-Q"
0.9015,"CSA-Q"
0.8863,"CSA-Q"
0.9105,"CSA-Q"
0.9359,"CSA-Q"
0.9026,"CSA-Q"
0.8982,"CSA-Q"
0.908,"CSA-Q"
0.9051,"CSA-Q"
0.8944,"CSA-Q"
0.8781,"CSA-Q"
0.9167,"CSA-Q"
0.913,"CSA-Q"
0.8995,"CSA-Q"
0.8949,"CSA-Q"
0.9161,"CSA-Q"
0.9527,"CSA-Q"
0.9008,"CSA-Q"
0.9051,"CSA-Q"
0.8816,"CSA-Q"
0.8597,"CSA-Q"
0.8775,"CSA-Q"
0.9105,"CSA-Q"
0.8851,"CSA-Q"
0.8621,"CSA-Q"
0.8595,"CSA-Q"
0.8993,"CSA-Q"
0.8672,"CSA-Q"
0.898,"CSA-Q"
0.9139,"CSA-Q"
0.9013,"CSA-Q"
0.9144,"CSA-Q"
0.906,"CSA-Q"
0.9017,"CSA-Q"
0.9164,"CSA-Q"
0.8731,"CSA-Q"
0.893,"CSA-Q"
0.9048,"CSA-Q"
0.8846,"CSA-Q"
0.8971,"CSA-Q"
0.7633,"ITE-NUS"
0.7721,"ITE-NUS"
0.737,"ITE-NUS"
0.7127,"ITE-NUS"
0.7427,"ITE-NUS"
0.7095,"ITE-NUS"
0.7637,"ITE-NUS"
0.7621,"ITE-NUS"
0.7327,"ITE-NUS"
0.7626,"ITE-NUS"
0.7218,"ITE-NUS"
0.7416,"ITE-NUS"
0.7811,"ITE-NUS"
0.7459,"ITE-NUS"
0.7447,"ITE-NUS"
0.7675,"ITE-NUS"
0.7405,"ITE-NUS"
0.732,"ITE-NUS"
0.7465,"ITE-NUS"
0.7223,"ITE-NUS"
0.7186,"ITE-NUS"
0.7218,"ITE-NUS"
0.7333,"ITE-NUS"
0.7583,"ITE-NUS"
0.7362,"ITE-NUS"
0.7495,"ITE-NUS"
0.7635,"ITE-NUS"
0.762,"ITE-NUS"
0.7672,"ITE-NUS"
0.6983,"ITE-NUS"
0.6858,"ITE-NUS"
0.7092,"ITE-NUS"
0.7291,"ITE-NUS"
0.7366,"ITE-NUS"
0.7352,"ITE-NUS"
0.7456,"ITE-NUS"
0.7516,"ITE-NUS"
0.7573,"ITE-NUS"
0.7438,"ITE-NUS"
0.7025,"ITE-NUS"
0.7358,"ITE-NUS"
0.7761,"ITE-NUS"
0.7235,"ITE-NUS"
0.731,"ITE-NUS"
0.7606,"ITE-NUS"
0.7664,"ITE-NUS"
0.7526,"ITE-NUS"
0.7195,"ITE-NUS"
0.7056,"ITE-NUS"
0.7501,"ITE-NUS"
0.993,"CSA-B"
0.9895,"CSA-B"
0.9899,"CSA-B"
0.9902,"CSA-B"
0.9943,"CSA-B"
0.9921,"CSA-B"
0.9935,"CSA-B"
0.9927,"CSA-B"
0.9898,"CSA-B"
0.9901,"CSA-B"
0.9884,"CSA-B"
0.9922,"CSA-B"
0.9909,"CSA-B"
0.9935,"CSA-B"
0.9918,"CSA-B"
0.9912,"CSA-B"
0.9915,"CSA-B"
0.9896,"CSA-B"
0.9922,"CSA-B"
0.9861,"CSA-B"
0.9921,"CSA-B"
0.9897,"CSA-B"
0.9912,"CSA-B"
0.9891,"CSA-B"
0.9951,"CSA-B"
0.9896,"CSA-B"
0.9894,"CSA-B"
0.989,"CSA-B"
0.9902,"CSA-B"
0.9925,"CSA-B"
0.9862,"CSA-B"
0.9901,"CSA-B"
0.9918,"CSA-B"
0.9825,"CSA-B"
0.9919,"CSA-B"
0.9932,"CSA-B"
0.9918,"CSA-B"
0.9874,"CSA-B"
0.9918,"CSA-B"
0.9914,"CSA-B"
0.9923,"CSA-B"
0.9946,"CSA-B"
0.9922,"CSA-B"
0.9899,"CSA-B"
0.9912,"CSA-B"
0.9936,"CSA-B"
0.9921,"CSA-B"
0.9914,"CSA-B"
0.9911,"CSA-B"
0.9946,"CSA-B"
