"Coverage","group"
0.7737,"CSA-M"
0.7798,"CSA-M"
0.8139,"CSA-M"
0.7762,"CSA-M"
0.7786,"CSA-M"
0.8077,"CSA-M"
0.7735,"CSA-M"
0.7466,"CSA-M"
0.7534,"CSA-M"
0.7577,"CSA-M"
0.7929,"CSA-M"
0.7732,"CSA-M"
0.7866,"CSA-M"
0.7979,"CSA-M"
0.7362,"CSA-M"
0.7662,"CSA-M"
0.78,"CSA-M"
0.8112,"CSA-M"
0.7641,"CSA-M"
0.756,"CSA-M"
0.7886,"CSA-M"
0.7753,"CSA-M"
0.755,"CSA-M"
0.7868,"CSA-M"
0.7391,"CSA-M"
0.7886,"CSA-M"
0.7559,"CSA-M"
0.7922,"CSA-M"
0.7896,"CSA-M"
0.7485,"CSA-M"
0.772,"CSA-M"
0.7591,"CSA-M"
0.7894,"CSA-M"
0.82,"CSA-M"
0.7996,"CSA-M"
0.7448,"CSA-M"
0.7995,"CSA-M"
0.7664,"CSA-M"
0.7856,"CSA-M"
0.7419,"CSA-M"
0.801,"CSA-M"
0.7772,"CSA-M"
0.7863,"CSA-M"
0.7824,"CSA-M"
0.7632,"CSA-M"
0.7615,"CSA-M"
0.776,"CSA-M"
0.7642,"CSA-M"
0.7844,"CSA-M"
0.7382,"CSA-M"
0.8223,"CSA-Q"
0.8506,"CSA-Q"
0.8354,"CSA-Q"
0.8336,"CSA-Q"
0.8147,"CSA-Q"
0.8271,"CSA-Q"
0.8486,"CSA-Q"
0.7949,"CSA-Q"
0.8055,"CSA-Q"
0.7907,"CSA-Q"
0.7601,"CSA-Q"
0.8162,"CSA-Q"
0.8412,"CSA-Q"
0.8627,"CSA-Q"
0.8028,"CSA-Q"
0.7991,"CSA-Q"
0.853,"CSA-Q"
0.8543,"CSA-Q"
0.8246,"CSA-Q"
0.7621,"CSA-Q"
0.8261,"CSA-Q"
0.8353,"CSA-Q"
0.827,"CSA-Q"
0.8182,"CSA-Q"
0.8189,"CSA-Q"
0.8207,"CSA-Q"
0.8144,"CSA-Q"
0.8526,"CSA-Q"
0.8221,"CSA-Q"
0.8588,"CSA-Q"
0.8165,"CSA-Q"
0.8186,"CSA-Q"
0.8127,"CSA-Q"
0.8164,"CSA-Q"
0.8201,"CSA-Q"
0.8323,"CSA-Q"
0.8049,"CSA-Q"
0.7973,"CSA-Q"
0.8278,"CSA-Q"
0.8146,"CSA-Q"
0.8276,"CSA-Q"
0.8226,"CSA-Q"
0.8455,"CSA-Q"
0.8247,"CSA-Q"
0.8317,"CSA-Q"
0.8285,"CSA-Q"
0.8309,"CSA-Q"
0.8265,"CSA-Q"
0.7885,"CSA-Q"
0.8183,"CSA-Q"
0.781,"ITE-NUS"
0.816,"ITE-NUS"
0.8362,"ITE-NUS"
0.8148,"ITE-NUS"
0.8284,"ITE-NUS"
0.8328,"ITE-NUS"
0.8504,"ITE-NUS"
0.8397,"ITE-NUS"
0.8006,"ITE-NUS"
0.8337,"ITE-NUS"
0.8184,"ITE-NUS"
0.8406,"ITE-NUS"
0.7885,"ITE-NUS"
0.7443,"ITE-NUS"
0.8124,"ITE-NUS"
0.8221,"ITE-NUS"
0.8295,"ITE-NUS"
0.7937,"ITE-NUS"
0.8774,"ITE-NUS"
0.8389,"ITE-NUS"
0.8409,"ITE-NUS"
0.787,"ITE-NUS"
0.7937,"ITE-NUS"
0.8211,"ITE-NUS"
0.8353,"ITE-NUS"
0.8203,"ITE-NUS"
0.8322,"ITE-NUS"
0.8268,"ITE-NUS"
0.8173,"ITE-NUS"
0.808,"ITE-NUS"
0.8366,"ITE-NUS"
0.7832,"ITE-NUS"
0.8448,"ITE-NUS"
0.8458,"ITE-NUS"
0.83,"ITE-NUS"
0.7848,"ITE-NUS"
0.8486,"ITE-NUS"
0.8166,"ITE-NUS"
0.8063,"ITE-NUS"
0.8599,"ITE-NUS"
0.8091,"ITE-NUS"
0.8344,"ITE-NUS"
0.8144,"ITE-NUS"
0.7474,"ITE-NUS"
0.8464,"ITE-NUS"
0.8336,"ITE-NUS"
0.8235,"ITE-NUS"
0.8208,"ITE-NUS"
0.8111,"ITE-NUS"
0.801,"ITE-NUS"
0.9803,"CSA-B"
0.9892,"CSA-B"
0.9857,"CSA-B"
0.9883,"CSA-B"
0.9811,"CSA-B"
0.9887,"CSA-B"
0.9834,"CSA-B"
0.9813,"CSA-B"
0.9869,"CSA-B"
0.9854,"CSA-B"
0.9784,"CSA-B"
0.9801,"CSA-B"
0.9892,"CSA-B"
0.9838,"CSA-B"
0.984,"CSA-B"
0.9873,"CSA-B"
0.9857,"CSA-B"
0.9849,"CSA-B"
0.9885,"CSA-B"
0.983,"CSA-B"
0.981,"CSA-B"
0.9912,"CSA-B"
0.9818,"CSA-B"
0.9792,"CSA-B"
0.979,"CSA-B"
0.9837,"CSA-B"
0.9804,"CSA-B"
0.9833,"CSA-B"
0.9851,"CSA-B"
0.9804,"CSA-B"
0.9786,"CSA-B"
0.9862,"CSA-B"
0.9813,"CSA-B"
0.9862,"CSA-B"
0.9884,"CSA-B"
0.9753,"CSA-B"
0.9828,"CSA-B"
0.9846,"CSA-B"
0.9852,"CSA-B"
0.9777,"CSA-B"
0.9885,"CSA-B"
0.982,"CSA-B"
0.9866,"CSA-B"
0.9859,"CSA-B"
0.9771,"CSA-B"
0.9873,"CSA-B"
0.9831,"CSA-B"
0.9717,"CSA-B"
0.9847,"CSA-B"
0.9846,"CSA-B"
