"fct_val","group"
0.86,"CSA-M"
0.85,"CSA-M"
0.81,"CSA-M"
0.76,"CSA-M"
0.74,"CSA-M"
0.76,"CSA-M"
0.86,"CSA-M"
0.83,"CSA-M"
0.71,"CSA-M"
0.8,"CSA-M"
0.77,"CSA-M"
0.77,"CSA-M"
0.73,"CSA-M"
0.77,"CSA-M"
0.75,"CSA-M"
0.81,"CSA-M"
0.88,"CSA-M"
0.85,"CSA-M"
0.76,"CSA-M"
0.93,"CSA-M"
0.81,"CSA-M"
0.82,"CSA-M"
0.83,"CSA-M"
0.77,"CSA-M"
0.83,"CSA-M"
0.78,"CSA-M"
0.81,"CSA-M"
0.78,"CSA-M"
0.84,"CSA-M"
0.91,"CSA-M"
0.77,"CSA-M"
0.76,"CSA-M"
0.81,"CSA-M"
0.82,"CSA-M"
0.85,"CSA-M"
0.86,"CSA-M"
0.75,"CSA-M"
0.83,"CSA-M"
0.77,"CSA-M"
0.78,"CSA-M"
0.75,"CSA-M"
0.76,"CSA-M"
0.82,"CSA-M"
0.76,"CSA-M"
0.85,"CSA-M"
0.83,"CSA-M"
0.89,"CSA-M"
0.84,"CSA-M"
0.86,"CSA-M"
0.87,"CSA-M"
0.67,"CSA-Q"
0.78,"CSA-Q"
0.76,"CSA-Q"
0.69,"CSA-Q"
0.72,"CSA-Q"
0.86,"CSA-Q"
0.78,"CSA-Q"
0.75,"CSA-Q"
0.72,"CSA-Q"
0.76,"CSA-Q"
0.72,"CSA-Q"
0.77,"CSA-Q"
0.7,"CSA-Q"
0.74,"CSA-Q"
0.78,"CSA-Q"
0.79,"CSA-Q"
0.73,"CSA-Q"
0.65,"CSA-Q"
0.73,"CSA-Q"
0.83,"CSA-Q"
0.68,"CSA-Q"
0.74,"CSA-Q"
0.66,"CSA-Q"
0.74,"CSA-Q"
0.78,"CSA-Q"
0.72,"CSA-Q"
0.71,"CSA-Q"
0.69,"CSA-Q"
0.72,"CSA-Q"
0.72,"CSA-Q"
0.73,"CSA-Q"
0.8,"CSA-Q"
0.76,"CSA-Q"
0.79,"CSA-Q"
0.79,"CSA-Q"
0.8,"CSA-Q"
0.73,"CSA-Q"
0.66,"CSA-Q"
0.77,"CSA-Q"
0.74,"CSA-Q"
0.77,"CSA-Q"
0.7,"CSA-Q"
0.72,"CSA-Q"
0.77,"CSA-Q"
0.81,"CSA-Q"
0.71,"CSA-Q"
0.78,"CSA-Q"
0.68,"CSA-Q"
0.71,"CSA-Q"
0.73,"CSA-Q"
