"Coverage","group"
0.6687,"ITE-NUC"
0.7095,"ITE-NUC"
0.7337,"ITE-NUC"
0.7041,"ITE-NUC"
0.704,"ITE-NUC"
0.7245,"ITE-NUC"
0.6965,"ITE-NUC"
0.7485,"ITE-NUC"
0.7266,"ITE-NUC"
0.7026,"ITE-NUC"
0.7619,"ITE-NUC"
0.6993,"ITE-NUC"
0.6635,"ITE-NUC"
0.733,"ITE-NUC"
0.7034,"ITE-NUC"
0.7697,"ITE-NUC"
0.684,"ITE-NUC"
0.6557,"ITE-NUC"
0.7024,"ITE-NUC"
0.7264,"ITE-NUC"
0.6199,"ITE-NUC"
0.6526,"ITE-NUC"
0.7159,"ITE-NUC"
0.6938,"ITE-NUC"
0.7603,"ITE-NUC"
0.7118,"ITE-NUC"
0.6958,"ITE-NUC"
0.6163,"ITE-NUC"
0.713,"ITE-NUC"
0.7533,"ITE-NUC"
0.6717,"ITE-NUC"
0.6683,"ITE-NUC"
0.6985,"ITE-NUC"
0.7154,"ITE-NUC"
0.6803,"ITE-NUC"
0.6892,"ITE-NUC"
0.6785,"ITE-NUC"
0.6801,"ITE-NUC"
0.6057,"ITE-NUC"
0.6867,"ITE-NUC"
0.6167,"ITE-NUC"
0.7777,"ITE-NUC"
0.7106,"ITE-NUC"
0.7339,"ITE-NUC"
0.7556,"ITE-NUC"
0.7102,"ITE-NUC"
0.7019,"ITE-NUC"
0.6654,"ITE-NUC"
0.6484,"ITE-NUC"
0.6235,"ITE-NUC"
0.8626,"CSA-M"
0.8365,"CSA-M"
0.8858,"CSA-M"
0.8657,"CSA-M"
0.8176,"CSA-M"
0.8736,"CSA-M"
0.8524,"CSA-M"
0.8533,"CSA-M"
0.8432,"CSA-M"
0.8642,"CSA-M"
0.8984,"CSA-M"
0.8136,"CSA-M"
0.8001,"CSA-M"
0.8598,"CSA-M"
0.8888,"CSA-M"
0.8906,"CSA-M"
0.873,"CSA-M"
0.8114,"CSA-M"
0.8651,"CSA-M"
0.836,"CSA-M"
0.8359,"CSA-M"
0.823,"CSA-M"
0.8556,"CSA-M"
0.8356,"CSA-M"
0.8332,"CSA-M"
0.8236,"CSA-M"
0.8475,"CSA-M"
0.854,"CSA-M"
0.8444,"CSA-M"
0.8489,"CSA-M"
0.836,"CSA-M"
0.8426,"CSA-M"
0.8519,"CSA-M"
0.8498,"CSA-M"
0.8034,"CSA-M"
0.8453,"CSA-M"
0.8715,"CSA-M"
0.8697,"CSA-M"
0.8279,"CSA-M"
0.8478,"CSA-M"
0.817,"CSA-M"
0.8421,"CSA-M"
0.8526,"CSA-M"
0.8344,"CSA-M"
0.8972,"CSA-M"
0.8326,"CSA-M"
0.8412,"CSA-M"
0.8471,"CSA-M"
0.8258,"CSA-M"
0.807,"CSA-M"
0.8398,"CSA-Q"
0.8224,"CSA-Q"
0.8471,"CSA-Q"
0.8169,"CSA-Q"
0.814,"CSA-Q"
0.8559,"CSA-Q"
0.8504,"CSA-Q"
0.8506,"CSA-Q"
0.8319,"CSA-Q"
0.8076,"CSA-Q"
0.8521,"CSA-Q"
0.8325,"CSA-Q"
0.8286,"CSA-Q"
0.8692,"CSA-Q"
0.8603,"CSA-Q"
0.8862,"CSA-Q"
0.8083,"CSA-Q"
0.8441,"CSA-Q"
0.8646,"CSA-Q"
0.8277,"CSA-Q"
0.8279,"CSA-Q"
0.7897,"CSA-Q"
0.8248,"CSA-Q"
0.863,"CSA-Q"
0.8448,"CSA-Q"
0.8545,"CSA-Q"
0.8759,"CSA-Q"
0.7615,"CSA-Q"
0.8538,"CSA-Q"
0.8447,"CSA-Q"
0.8493,"CSA-Q"
0.8268,"CSA-Q"
0.8778,"CSA-Q"
0.816,"CSA-Q"
0.82,"CSA-Q"
0.8648,"CSA-Q"
0.8798,"CSA-Q"
0.868,"CSA-Q"
0.7942,"CSA-Q"
0.855,"CSA-Q"
0.8046,"CSA-Q"
0.8932,"CSA-Q"
0.8707,"CSA-Q"
0.8722,"CSA-Q"
0.858,"CSA-Q"
0.8248,"CSA-Q"
0.8552,"CSA-Q"
0.8619,"CSA-Q"
0.8608,"CSA-Q"
0.8426,"CSA-Q"
